step,method,source_method,mean_energy_per_site,standard_error_of_mean,n_independent_runs
234,Row-Update,mps2,-1.33502284,1.22744224e-04,100
234,Hybrid,mixture2,-1.33507371,1.20592929e-04,100
235,Metropolis,metropolis,-1.33395886,4.22240156e-04,100
235,Row-Update,mps2,-1.33502629,1.18820041e-04,100
235,Hybrid,mixture2,-1.33508058,1.21655910e-04,100
236,Metropolis,metropolis,-1.33398808,4.17744984e-04,100
236,Row-Update,mps2,-1.33500866,1.18343080e-04,100
236,Hybrid,mixture2,-1.33514988,1.21337141e-04,100
237,Metropolis,metropolis,-1.33397664,4.16967879e-04,100
237,Row-Update,mps2,-1.33503827,1.21888515e-04,100
237,Hybrid,mixture2,-1.33518374,1.15084244e-04,100
238,Metropolis,metropolis,-1.33400234,4.15028906e-04,100
238,Row-Update,mps2,-1.33502678,1.22890415e-04,100
238,Hybrid,mixture2,-1.33517234,1.17600127e-04,100
239,Metropolis,metropolis,-1.33406424,4.16645946e-04,100
239,Row-Update,mps2,-1.33501636,1.34769675e-04,100
239,Hybrid,mixture2,-1.33518662,1.18375625e-04,100
240,Metropolis,metropolis,-1.33403315,4.15647101e-04,100
240,Row-Update,mps2,-1.33500757,1.28046789e-04,100
240,Hybrid,mixture2,-1.33516693,1.23926310e-04,100
241,Metropolis,metropolis,-1.33406965,4.16296177e-04,100
241,Row-Update,mps2,-1.33503720,1.23987407e-04,100
241,Hybrid,mixture2,-1.33519780,1.17291107e-04,100
242,Metropolis,metropolis,-1.33405766,4.17956044e-04,100
242,Row-Update,mps2,-1.33504547,1.22336590e-04,100
242,Hybrid,mixture2,-1.33521729,1.13135399e-04,100
243,Metropolis,metropolis,-1.33404082,4.17451635e-04,100
243,Row-Update,mps2,-1.33507229,1.25111686e-04,100
243,Hybrid,mixture2,-1.33518468,1.25255186e-04,100
244,Metropolis,metropolis,-1.33409201,4.15089698e-04,100
244,Row-Update,mps2,-1.33507151,1.24382119e-04,100
244,Hybrid,mixture2,-1.33521154,1.13666784e-04,100
245,Metropolis,metropolis,-1.33406527,4.14260067e-04,100
245,Row-Update,mps2,-1.33508801,1.26382305e-04,100
245,Hybrid,mixture2,-1.33521943,1.15905128e-04,100
246,Metropolis,metropolis,-1.33408482,4.12325324e-04,100
246,Row-Update,mps2,-1.33508942,1.26352480e-04,100
246,Hybrid,mixture2,-1.33522779,1.11823335e-04,100
247,Metropolis,metropolis,-1.33409722,4.17501683e-04,100
247,Row-Update,mps2,-1.33507165,1.28811454e-04,100
247,Hybrid,mixture2,-1.33518606,1.25346383e-04,100
248,Metropolis,metropolis,-1.33410675,4.13905364e-04,100
248,Row-Update,mps2,-1.33510363,1.23678140e-04,100
248,Hybrid,mixture2,-1.33520320,1.24335219e-04,100
249,Metropolis,metropolis,-1.33413540,4.11705638e-04,100
249,Row-Update,mps2,-1.33511388,1.20480718e-04,100
249,Hybrid,mixture2,-1.33521780,1.17606809e-04,100
