step,method,source_method,mean_energy_per_site,standard_error_of_mean,n_independent_runs
224,Hybrid,mixture,-1.39398395,1.76628194e-03,20
225,Metropolis,metropolis,-1.38601978,2.61664201e-03,20
225,Row-Update,mps,-1.39110344,2.21391572e-03,20
225,Hybrid,mixture,-1.39402682,1.76916389e-03,20
226,Metropolis,metropolis,-1.38602346,2.63417967e-03,20
226,Row-Update,mps,-1.39115949,2.20870576e-03,20
226,Hybrid,mixture,-1.39406691,1.76633427e-03,20
227,Metropolis,metropolis,-1.38606267,2.63933556e-03,20
227,Row-Update,mps,-1.39113915,2.21252185e-03,20
227,Hybrid,mixture,-1.39402360,1.77258643e-03,20
228,Metropolis,metropolis,-1.38601132,2.63913862e-03,20
228,Row-Update,mps,-1.39117218,2.21060011e-03,20
228,Hybrid,mixture,-1.39407785,1.76574823e-03,20
229,Metropolis,metropolis,-1.38614345,2.64737611e-03,20
229,Row-Update,mps,-1.39121249,2.21526011e-03,20
229,Hybrid,mixture,-1.39411468,1.76827554e-03,20
230,Metropolis,metropolis,-1.38616029,2.64236538e-03,20
230,Row-Update,mps,-1.39125051,2.21302668e-03,20
230,Hybrid,mixture,-1.39415527,1.78155590e-03,20
231,Metropolis,metropolis,-1.38616726,2.65873625e-03,20
231,Row-Update,mps,-1.39124748,2.21275390e-03,20
231,Hybrid,mixture,-1.39415641,1.76984904e-03,20
232,Metropolis,metropolis,-1.38617280,2.64186637e-03,20
232,Row-Update,mps,-1.39129219,2.20583858e-03,20
232,Hybrid,mixture,-1.39419695,1.77394535e-03,20
233,Metropolis,metropolis,-1.38621775,2.65854639e-03,20
233,Row-Update,mps,-1.39133103,2.21631840e-03,20
233,Hybrid,mixture,-1.39421343,1.77655928e-03,20
234,Metropolis,metropolis,-1.38626535,2.66768341e-03,20
234,Row-Update,mps,-1.39131291,2.22090667e-03,20
234,Hybrid,mixture,-1.39424014,1.78017212e-03,20
235,Metropolis,metropolis,-1.38622445,2.65083984e-03,20
235,Row-Update,mps,-1.39136742,2.22994197e-03,20
